Rating,Subject,Word,Naive,Language
6,Jer,horse,naive,English
2,Jer,gherkin,naive,English
3,Jer,hedgehog,naive,English
2,Jer,bee,naive,English
1,Jer,peanut,naive,English
2,Jer,pear,naive,English
3,Jer,pineapple,naive,English
3,Jer,frog,naive,English
1,Jer,blackberry,naive,English
2,Jer,pigeon,naive,English
3,Jer,tortoise,naive,English
3,Jer,tomato,naive,English
5,Jer,pig,naive,English
6,Jer,donkey,naive,English
3,Jer,magpie,naive,English
3,Jer,melon,naive,English
2,Jer,paprika,naive,English
3,Jer,squirrel,naive,English
2,Jer,beetroot,naive,English
3,Jer,snake,naive,English
4,Jer,goat,naive,English
2,Jer,cucumber,naive,English
1,Jer,strawberry,naive,English
4,Jer,fox,naive,English
1,Jer,walnut,naive,English
3,Jer,broccoli,naive,English
3,Jer,bat,naive,English
4,Jer,dog,naive,English
2,Jer,butterfly,naive,English
2,Jer,spider,naive,English
3,Jer,apricot,naive,English
3,Jer,owl,naive,English
2,Jer,mushroom,naive,English
3,Jer,gull,naive,English
4,Jer,dolphin,naive,English
2,Jer,clove,naive,English
6,Jer,reindeer,naive,English
6,Jer,shark,naive,English
2,Jer,olive,naive,English
2,Jer,almond,naive,English
7,Jer,whale,naive,English
6,Jer,moose,naive,English
6,Jer,camel,naive,English
2,Jer,wasp,naive,English
3,Jer,lettuce,naive,English
3,Jer,potato,naive,English
4,Jer,sheep,naive,English
3,Jer,cat,naive,English
1,Jer,cherry,naive,English
2,Jer,eggplant,naive,English
2,Jer,asparagus,naive,English
3,Jer,vulture,naive,English
3,Jer,bunny,naive,English
2,Jer,mouse,naive,English
2,Jer,leek,naive,English
4,Jer,badger,naive,English
1,Jer,ant,naive,English
2,Jer,grape,naive,English
4,Jer,eagle,naive,English
6,Jer,lion,naive,English
1,Jer,mustard,naive,English
2,Jer,woodpecker,naive,English
3,Jer,kiwi,naive,English
3,Jer,carrot,naive,English
3,Jer,radish,naive,English
4,Jer,beaver,naive,English
2,Jer,lemon,naive,English
4,Jer,squid,naive,English
3,Jer,mole,naive,English
1,Jer,blueberry,naive,English
3,Jer,chicken,naive,English
7,Jer,elephant,naive,English
2,Jer,banana,naive,English
4,Jer,stork,naive,English
3,Jer,orange,naive,English
6,Jer,crocodile,naive,English
2,Jer,swan,naive,English
3,Jer,monkey,naive,English
2,Jer,avocado,naive,English
3,Jer,goose,naive,English
2,Jer,apple,naive,English
2,YH,spider,naive,notEnglish
5,YH,melon,naive,notEnglish
4,YH,banana,naive,notEnglish
3,YH,badger,naive,notEnglish
2,YH,butterfly,naive,notEnglish
4,YH,pigeon,naive,notEnglish
2,YH,grape,naive,notEnglish
4,YH,broccoli,naive,notEnglish
4,YH,woodpecker,naive,notEnglish
3,YH,squid,naive,notEnglish
5,YH,swan,naive,notEnglish
2,YH,mushroom,naive,notEnglish
3,YH,asparagus,naive,notEnglish
5,YH,goose,naive,notEnglish
4,YH,vulture,naive,notEnglish
3,YH,bunny,naive,notEnglish
7,YH,lion,naive,notEnglish
4,YH,leek,naive,notEnglish
4,YH,mole,naive,notEnglish
2,YH,beetroot,naive,notEnglish
2,YH,frog,naive,notEnglish
2,YH,moose,naive,notEnglish
3,YH,stork,naive,notEnglish
2,YH,hedgehog,naive,notEnglish
7,YH,shark,naive,notEnglish
2,YH,pear,naive,notEnglish
3,YH,radish,naive,notEnglish
7,YH,horse,naive,notEnglish
4,YH,owl,naive,notEnglish
2,YH,apricot,naive,notEnglish
3,YH,snake,naive,notEnglish
2,YH,bee,naive,notEnglish
2,YH,blueberry,naive,notEnglish
7,YH,camel,naive,notEnglish
3,YH,cucumber,naive,notEnglish
2,YH,chicken,naive,notEnglish
6,YH,crocodile,naive,notEnglish
3,YH,potato,naive,notEnglish
2,YH,peanut,naive,notEnglish
7,YH,whale,naive,notEnglish
4,YH,monkey,naive,notEnglish
3,YH,beaver,naive,notEnglish
3,YH,orange,naive,notEnglish
2,YH,bat,naive,notEnglish
1,YH,ant,naive,notEnglish
7,YH,dolphin,naive,notEnglish
7,YH,elephant,naive,notEnglish
6,YH,pig,naive,notEnglish
4,YH,magpie,naive,notEnglish
2,YH,mustard,naive,notEnglish
7,YH,reindeer,naive,notEnglish
2,YH,wasp,naive,notEnglish
2,YH,mouse,naive,notEnglish
2,YH,olive,naive,notEnglish
6,YH,sheep,naive,notEnglish
4,YH,paprika,naive,notEnglish
3,YH,avocado,naive,notEnglish
6,YH,donkey,naive,notEnglish
3,YH,eggplant,naive,notEnglish
3,YH,carrot,naive,notEnglish
3,YH,cat,naive,notEnglish
5,YH,dog,naive,notEnglish
2,YH,almond,naive,notEnglish
3,YH,apple,naive,notEnglish
4,YH,lettuce,naive,notEnglish
2,YH,strawberry,naive,notEnglish
2,YH,lemon,naive,notEnglish
1,YH,walnut,naive,notEnglish
2,YH,blackberry,naive,notEnglish
4,YH,gull,naive,notEnglish
3,YH,clove,naive,notEnglish
4,YH,gherkin,naive,notEnglish
6,YH,fox,naive,notEnglish
5,YH,pineapple,naive,notEnglish
1,YH,cherry,naive,notEnglish
3,YH,tomato,naive,notEnglish
6,YH,goat,naive,notEnglish
5,YH,eagle,naive,notEnglish
4,YH,tortoise,naive,notEnglish
3,YH,kiwi,naive,notEnglish
3,YH,squirrel,naive,notEnglish
2,MtG,squid,naive,English
3,MtG,pear,naive,English
2,MtG,asparagus,naive,English
2,MtG,leek,naive,English
5,MtG,donkey,naive,English
4,MtG,pigeon,naive,English
3,MtG,eagle,naive,English
3,MtG,squirrel,naive,English
3,MtG,woodpecker,naive,English
2,MtG,bunny,naive,English
4,MtG,fox,naive,English
5,MtG,sheep,naive,English
7,MtG,shark,naive,English
2,MtG,badger,naive,English
7,MtG,moose,naive,English
2,MtG,radish,naive,English
1,MtG,cherry,naive,English
3,MtG,tortoise,naive,English
2,MtG,mouse,naive,English
4,MtG,pineapple,naive,English
7,MtG,whale,naive,English
1,MtG,ant,naive,English
2,MtG,wasp,naive,English
3,MtG,goose,naive,English
2,MtG,orange,naive,English
2,MtG,paprika,naive,English
1,MtG,blueberry,naive,English
2,MtG,eggplant,naive,English
3,MtG,chicken,naive,English
3,MtG,gull,naive,English
1,MtG,butterfly,naive,English
4,MtG,goat,naive,English
2,MtG,lemon,naive,English
1,MtG,walnut,naive,English
3,MtG,snake,naive,English
5,MtG,pig,naive,English
6,MtG,crocodile,naive,English
3,MtG,melon,naive,English
3,MtG,owl,naive,English
3,MtG,lettuce,naive,English
7,MtG,horse,naive,English
2,MtG,frog,naive,English
2,MtG,carrot,naive,English
1,MtG,hedgehog,naive,English
7,MtG,camel,naive,English
3,MtG,kiwi,naive,English
3,MtG,gherkin,naive,English
1,MtG,olive,naive,English
2,MtG,beetroot,naive,English
1,MtG,almond,naive,English
1,MtG,grape,naive,English
3,MtG,broccoli,naive,English
1,MtG,peanut,naive,English
1,MtG,bee,naive,English
4,MtG,swan,naive,English
2,MtG,strawberry,naive,English
2,MtG,potato,naive,English
2,MtG,cucumber,naive,English
6,MtG,dolphin,naive,English
4,MtG,cat,naive,English
2,MtG,apricot,naive,English
1,MtG,spider,naive,English
3,MtG,dog,naive,English
1,MtG,mustard,naive,English
1,MtG,mole,naive,English
2,MtG,apple,naive,English
1,MtG,blackberry,naive,English
4,MtG,beaver,naive,English
2,MtG,tomato,naive,English
5,MtG,vulture,naive,English
6,MtG,reindeer,naive,English
1,MtG,clove,naive,English
2,MtG,banana,naive,English
3,MtG,magpie,naive,English
1,MtG,bat,naive,English
7,MtG,elephant,naive,English
3,MtG,avocado,naive,English
4,MtG,monkey,naive,English
6,MtG,lion,naive,English
5,MtG,stork,naive,English
1,MtG,mushroom,naive,English
2,Sa1,frog,naive,English
2,Sa1,beetroot,naive,English
3,Sa1,leek,naive,English
4,Sa1,owl,naive,English
1,Sa1,peanut,naive,English
2,Sa1,walnut,naive,English
3,Sa1,apple,naive,English
2,Sa1,spider,naive,English
4,Sa1,swan,naive,English
3,Sa1,butterfly,naive,English
5,Sa1,goat,naive,English
4,Sa1,fox,naive,English
2,Sa1,melon,naive,English
6,Sa1,donkey,naive,English
2,Sa1,asparagus,naive,English
3,Sa1,pigeon,naive,English
3,Sa1,bunny,naive,English
2,Sa1,clove,naive,English
1,Sa1,paprika,naive,English
2,Sa1,olive,naive,English
6,Sa1,horse,naive,English
2,Sa1,pineapple,naive,English
7,Sa1,moose,naive,English
2,Sa1,banana,naive,English
2,Sa1,lemon,naive,English
7,Sa1,lion,naive,English
4,Sa1,pig,naive,English
2,Sa1,grape,naive,English
3,Sa1,pear,naive,English
3,Sa1,mustard,naive,English
1,Sa1,ant,naive,English
2,Sa1,wasp,naive,English
5,Sa1,sheep,naive,English
3,Sa1,woodpecker,naive,English
2,Sa1,orange,naive,English
4,Sa1,vulture,naive,English
2,Sa1,strawberry,naive,English
5,Sa1,dog,naive,English
4,Sa1,chicken,naive,English
2,Sa1,mushroom,naive,English
4,Sa1,monkey,naive,English
2,Sa1,tomato,naive,English
3,Sa1,mole,naive,English
3,Sa1,badger,naive,English
2,Sa1,potato,naive,English
3,Sa1,snake,naive,English
6,Sa1,camel,naive,English
2,Sa1,radish,naive,English
3,Sa1,magpie,naive,English
2,Sa1,mouse,naive,English
3,Sa1,gull,naive,English
5,Sa1,crocodile,naive,English
1,Sa1,bee,naive,English
1,Sa1,almond,naive,English
3,Sa1,broccoli,naive,English
2,Sa1,carrot,naive,English
2,Sa1,gherkin,naive,English
5,Sa1,shark,naive,English
2,Sa1,avocado,naive,English
1,Sa1,blueberry,naive,English
4,Sa1,dolphin,naive,English
3,Sa1,cat,naive,English
3,Sa1,beaver,naive,English
7,Sa1,elephant,naive,English
2,Sa1,apricot,naive,English
3,Sa1,tortoise,naive,English
3,Sa1,goose,naive,English
3,Sa1,squid,naive,English
2,Sa1,lettuce,naive,English
2,Sa1,squirrel,naive,English
1,Sa1,cherry,naive,English
7,Sa1,whale,naive,English
4,Sa1,eagle,naive,English
2,Sa1,eggplant,naive,English
2,Sa1,hedgehog,naive,English
3,Sa1,kiwi,naive,English
2,Sa1,bat,naive,English
1,Sa1,blackberry,naive,English
4,Sa1,stork,naive,English
5,Sa1,reindeer,naive,English
2,Sa1,cucumber,naive,English
6,Me,donkey,naive,English
1,Me,wasp,naive,English
3,Me,cat,naive,English
1,Me,peanut,naive,English
3,Me,bat,naive,English
3,Me,swan,naive,English
4,Me,pig,naive,English
1,Me,blackberry,naive,English
6,Me,lion,naive,English
2,Me,tomato,naive,English
6,Me,camel,naive,English
7,Me,elephant,naive,English
2,Me,carrot,naive,English
2,Me,woodpecker,naive,English
1,Me,blueberry,naive,English
2,Me,radish,naive,English
2,Me,potato,naive,English
1,Me,bee,naive,English
6,Me,crocodile,naive,English
2,Me,broccoli,naive,English
1,Me,cherry,naive,English
1,Me,grape,naive,English
6,Me,horse,naive,English
3,Me,goose,naive,English
2,Me,mole,naive,English
2,Me,leek,naive,English
3,Me,gull,naive,English
2,Me,gherkin,naive,English
2,Me,orange,naive,English
5,Me,reindeer,naive,English
2,Me,mouse,naive,English
1,Me,butterfly,naive,English
4,Me,monkey,naive,English
3,Me,pineapple,naive,English
2,Me,mustard,naive,English
4,Me,snake,naive,English
5,Me,stork,naive,English
2,Me,beetroot,naive,English
6,Me,shark,naive,English
4,Me,magpie,naive,English
2,Me,cucumber,naive,English
3,Me,owl,naive,English
2,Me,apricot,naive,English
4,Me,beaver,naive,English
2,Me,lemon,naive,English
1,Me,walnut,naive,English
5,Me,goat,naive,English
5,Me,fox,naive,English
6,Me,moose,naive,English
5,Me,dolphin,naive,English
1,Me,ant,naive,English
4,Me,hedgehog,naive,English
5,Me,eagle,naive,English
5,Me,sheep,naive,English
3,Me,frog,naive,English
7,Me,whale,naive,English
6,Me,vulture,naive,English
2,Me,avocado,naive,English
1,Me,olive,naive,English
4,Me,squid,naive,English
4,Me,chicken,naive,English
3,Me,mushroom,naive,English
2,Me,strawberry,naive,English
4,Me,lettuce,naive,English
4,Me,badger,naive,English
3,Me,pear,naive,English
1,Me,paprika,naive,English
1,Me,clove,naive,English
3,Me,eggplant,naive,English
2,Me,apple,naive,English
4,Me,squirrel,naive,English
2,Me,spider,naive,English
4,Me,dog,naive,English
2,Me,melon,naive,English
1,Me,almond,naive,English
3,Me,asparagus,naive,English
4,Me,kiwi,naive,English
3,Me,banana,naive,English
4,Me,bunny,naive,English
4,Me,tortoise,naive,English
4,Me,pigeon,naive,English
3,Ni,goose,naive,notEnglish
2,Ni,magpie,naive,notEnglish
1,Ni,lemon,naive,notEnglish
2,Ni,snake,naive,notEnglish
1,Ni,olive,naive,notEnglish
3,Ni,tortoise,naive,notEnglish
1,Ni,gherkin,naive,notEnglish
3,Ni,dolphin,naive,notEnglish
1,Ni,chicken,naive,notEnglish
4,Ni,sheep,naive,notEnglish
2,Ni,eggplant,naive,notEnglish
1,Ni,ant,naive,notEnglish
1,Ni,carrot,naive,notEnglish
2,Ni,pigeon,naive,notEnglish
1,Ni,paprika,naive,notEnglish
1,Ni,spider,naive,notEnglish
2,Ni,owl,naive,notEnglish
6,Ni,shark,naive,notEnglish
1,Ni,blackberry,naive,notEnglish
6,Ni,reindeer,naive,notEnglish
1,Ni,bat,naive,notEnglish
4,Ni,fox,naive,notEnglish
1,Ni,tomato,naive,notEnglish
1,Ni,walnut,naive,notEnglish
2,Ni,mouse,naive,notEnglish
1,Ni,asparagus,naive,notEnglish
1,Ni,kiwi,naive,notEnglish
1,Ni,mushroom,naive,notEnglish
1,Ni,peanut,naive,notEnglish
2,Ni,bunny,naive,notEnglish
1,Ni,mole,naive,notEnglish
2,Ni,pineapple,naive,notEnglish
1,Ni,bee,naive,notEnglish
2,Ni,gull,naive,notEnglish
2,Ni,cucumber,naive,notEnglish
1,Ni,clove,naive,notEnglish
1,Ni,butterfly,naive,notEnglish
2,Ni,squirrel,naive,notEnglish
3,Ni,goat,naive,notEnglish
3,Ni,eagle,naive,notEnglish
4,Ni,horse,naive,notEnglish
1,Ni,radish,naive,notEnglish
1,Ni,frog,naive,notEnglish
4,Ni,camel,naive,notEnglish
2,Ni,pear,naive,notEnglish
1,Ni,badger,naive,notEnglish
2,Ni,monkey,naive,notEnglish
1,Ni,orange,naive,notEnglish
3,Ni,mustard,naive,notEnglish
1,Ni,cherry,naive,notEnglish
7,Ni,whale,naive,notEnglish
1,Ni,leek,naive,notEnglish
1,Ni,wasp,naive,notEnglish
3,Ni,cat,naive,notEnglish
4,Ni,vulture,naive,notEnglish
2,Ni,apple,naive,notEnglish
2,Ni,banana,naive,notEnglish
2,Ni,avocado,naive,notEnglish
3,Ni,dog,naive,notEnglish
2,Ni,beetroot,naive,notEnglish
1,Ni,almond,naive,notEnglish
2,Ni,hedgehog,naive,notEnglish
3,Ni,swan,naive,notEnglish
1,Ni,blueberry,naive,notEnglish
5,Ni,crocodile,naive,notEnglish
6,Ni,moose,naive,notEnglish
2,Ni,broccoli,naive,notEnglish
4,Ni,pig,naive,notEnglish
4,Ni,stork,naive,notEnglish
2,Ni,apricot,naive,notEnglish
3,Ni,donkey,naive,notEnglish
1,Ni,grape,naive,notEnglish
2,Ni,melon,naive,notEnglish
5,Ni,lion,naive,notEnglish
7,Ni,elephant,naive,notEnglish
2,Ni,beaver,naive,notEnglish
1,Ni,woodpecker,naive,notEnglish
1,Ni,potato,naive,notEnglish
1,Ni,lettuce,naive,notEnglish
1,Ni,strawberry,naive,notEnglish
4,Ni,squid,naive,notEnglish
2,To,spider,naive,English
4,To,melon,naive,English
3,To,banana,naive,English
3,To,badger,naive,English
2,To,butterfly,naive,English
3,To,pigeon,naive,English
2,To,grape,naive,English
3,To,broccoli,naive,English
3,To,woodpecker,naive,English
4,To,squid,naive,English
3,To,swan,naive,English
2,To,mushroom,naive,English
3,To,asparagus,naive,English
3,To,goose,naive,English
4,To,vulture,naive,English
3,To,bunny,naive,English
4,To,lion,naive,English
3,To,leek,naive,English
3,To,mole,naive,English
2,To,beetroot,naive,English
2,To,frog,naive,English
4,To,moose,naive,English
3,To,stork,naive,English
3,To,hedgehog,naive,English
5,To,shark,naive,English
3,To,pear,naive,English
3,To,radish,naive,English
4,To,horse,naive,English
3,To,owl,naive,English
2,To,apricot,naive,English
3,To,snake,naive,English
2,To,bee,naive,English
2,To,blueberry,naive,English
4,To,camel,naive,English
3,To,cucumber,naive,English
3,To,chicken,naive,English
5,To,crocodile,naive,English
2,To,potato,naive,English
2,To,peanut,naive,English
7,To,whale,naive,English
3,To,monkey,naive,English
3,To,beaver,naive,English
3,To,orange,naive,English
3,To,bat,naive,English
2,To,ant,naive,English
4,To,dolphin,naive,English
5,To,elephant,naive,English
4,To,pig,naive,English
3,To,magpie,naive,English
3,To,mustard,naive,English
4,To,reindeer,naive,English
2,To,wasp,naive,English
3,To,mouse,naive,English
2,To,olive,naive,English
4,To,sheep,naive,English
3,To,paprika,naive,English
3,To,avocado,naive,English
4,To,donkey,naive,English
3,To,eggplant,naive,English
3,To,carrot,naive,English
4,To,cat,naive,English
4,To,dog,naive,English
2,To,almond,naive,English
3,To,apple,naive,English
3,To,lettuce,naive,English
2,To,strawberry,naive,English
3,To,lemon,naive,English
2,To,walnut,naive,English
2,To,blackberry,naive,English
4,To,gull,naive,English
3,To,clove,naive,English
3,To,gherkin,naive,English
4,To,fox,naive,English
3,To,pineapple,naive,English
2,To,cherry,naive,English
3,To,tomato,naive,English
4,To,goat,naive,English
4,To,eagle,naive,English
3,To,tortoise,naive,English
3,To,kiwi,naive,English
3,To,squirrel,naive,English
3,Mar,donkey,naive,English
4,Mar,goose,naive,English
2,Mar,owl,naive,English
2,Mar,hedgehog,naive,English
4,Mar,vulture,naive,English
1,Mar,olive,naive,English
2,Mar,carrot,naive,English
4,Mar,kiwi,naive,English
1,Mar,blackberry,naive,English
1,Mar,blueberry,naive,English
5,Mar,dolphin,naive,English
2,Mar,melon,naive,English
3,Mar,gull,naive,English
4,Mar,squid,naive,English
2,Mar,tomato,naive,English
2,Mar,mushroom,naive,English
3,Mar,dog,naive,English
5,Mar,shark,naive,English
7,Mar,elephant,naive,English
2,Mar,orange,naive,English
2,Mar,leek,naive,English
6,Mar,lion,naive,English
6,Mar,crocodile,naive,English
4,Mar,pig,naive,English
2,Mar,pineapple,naive,English
4,Mar,swan,naive,English
2,Mar,apricot,naive,English
2,Mar,frog,naive,English
3,Mar,lettuce,naive,English
1,Mar,ant,naive,English
2,Mar,cherry,naive,English
1,Mar,clove,naive,English
1,Mar,wasp,naive,English
2,Mar,avocado,naive,English
3,Mar,squirrel,naive,English
2,Mar,bat,naive,English
1,Mar,radish,naive,English
1,Mar,butterfly,naive,English
1,Mar,paprika,naive,English
4,Mar,sheep,naive,English
3,Mar,cat,naive,English
6,Mar,reindeer,naive,English
2,Mar,cucumber,naive,English
3,Mar,bunny,naive,English
4,Mar,snake,naive,English
2,Mar,beetroot,naive,English
6,Mar,moose,naive,English
6,Mar,whale,naive,English
2,Mar,pear,naive,English
2,Mar,mole,naive,English
3,Mar,monkey,naive,English
2,Mar,gherkin,naive,English
1,Mar,peanut,naive,English
4,Mar,badger,naive,English
2,Mar,potato,naive,English
1,Mar,bee,naive,English
5,Mar,camel,naive,English
2,Mar,walnut,naive,English
2,Mar,mouse,naive,English
3,Mar,eggplant,naive,English
5,Mar,tortoise,naive,English
4,Mar,woodpecker,naive,English
4,Mar,fox,naive,English
3,Mar,magpie,naive,English
2,Mar,banana,naive,English
1,Mar,grape,naive,English
1,Mar,almond,naive,English
2,Mar,lemon,naive,English
2,Mar,strawberry,naive,English
4,Mar,goat,naive,English
6,Mar,horse,naive,English
2,Mar,broccoli,naive,English
2,Mar,asparagus,naive,English
2,Mar,apple,naive,English
4,Mar,eagle,naive,English
3,Mar,pigeon,naive,English
3,Mar,chicken,naive,English
1,Mar,spider,naive,English
1,Mar,mustard,naive,English
4,Mar,stork,naive,English
4,Mar,beaver,naive,English
4,ME,dog,naive,English
1,ME,walnut,naive,English
3,ME,goose,naive,English
2,ME,pineapple,naive,English
3,ME,kiwi,naive,English
1,ME,strawberry,naive,English
3,ME,woodpecker,naive,English
1,ME,paprika,naive,English
1,ME,peanut,naive,English
2,ME,apricot,naive,English
3,ME,broccoli,naive,English
1,ME,gherkin,naive,English
6,ME,lion,naive,English
7,ME,reindeer,naive,English
3,ME,eggplant,naive,English
4,ME,swan,naive,English
2,ME,radish,naive,English
1,ME,frog,naive,English
6,ME,shark,naive,English
4,ME,badger,naive,English
7,ME,moose,naive,English
7,ME,elephant,naive,English
5,ME,snake,naive,English
1,ME,olive,naive,English
1,ME,potato,naive,English
2,ME,pear,naive,English
4,ME,horse,naive,English
2,ME,owl,naive,English
1,ME,wasp,naive,English
4,ME,donkey,naive,English
2,ME,avocado,naive,English
1,ME,almond,naive,English
7,ME,whale,naive,English
1,ME,blackberry,naive,English
2,ME,banana,naive,English
4,ME,eagle,naive,English
1,ME,bat,naive,English
1,ME,spider,naive,English
2,ME,pigeon,naive,English
2,ME,cucumber,naive,English
2,ME,hedgehog,naive,English
2,ME,leek,naive,English
3,ME,mole,naive,English
4,ME,beaver,naive,English
1,ME,lemon,naive,English
2,ME,bunny,naive,English
2,ME,apple,naive,English
1,ME,ant,naive,English
1,ME,cherry,naive,English
2,ME,chicken,naive,English
1,ME,mouse,naive,English
1,ME,bee,naive,English
2,ME,carrot,naive,English
4,ME,pig,naive,English
3,ME,lettuce,naive,English
5,ME,goat,naive,English
3,ME,squirrel,naive,English
1,ME,tomato,naive,English
1,ME,grape,naive,English
5,ME,dolphin,naive,English
1,ME,mustard,naive,English
3,ME,magpie,naive,English
4,ME,sheep,naive,English
3,ME,fox,naive,English
1,ME,mushroom,naive,English
4,ME,monkey,naive,English
2,ME,orange,naive,English
7,ME,squid,naive,English
3,ME,gull,naive,English
4,ME,vulture,naive,English
2,ME,cat,naive,English
1,ME,butterfly,naive,English
4,ME,stork,naive,English
2,ME,asparagus,naive,English
2,ME,tortoise,naive,English
2,ME,beetroot,naive,English
5,ME,crocodile,naive,English
1,ME,clove,naive,English
2,ME,melon,naive,English
5,ME,camel,naive,English
1,ME,blueberry,naive,English
2,Pt,bee,naive,English
3,Pt,magpie,naive,English
1,Pt,radish,naive,English
7,Pt,crocodile,naive,English
3,Pt,potato,naive,English
1,Pt,wasp,naive,English
4,Pt,swan,naive,English
3,Pt,gherkin,naive,English
4,Pt,dolphin,naive,English
7,Pt,whale,naive,English
2,Pt,chicken,naive,English
4,Pt,cat,naive,English
1,Pt,mole,naive,English
4,Pt,dog,naive,English
1,Pt,mouse,naive,English
1,Pt,kiwi,naive,English
7,Pt,elephant,naive,English
3,Pt,badger,naive,English
2,Pt,woodpecker,naive,English
1,Pt,blueberry,naive,English
5,Pt,donkey,naive,English
6,Pt,reindeer,naive,English
3,Pt,pigeon,naive,English
6,Pt,squid,naive,English
5,Pt,lion,naive,English
4,Pt,shark,naive,English
4,Pt,camel,naive,English
2,Pt,asparagus,naive,English
2,Pt,banana,naive,English
2,Pt,lemon,naive,English
3,Pt,cucumber,naive,English
3,Pt,goose,naive,English
2,Pt,frog,naive,English
2,Pt,mushroom,naive,English
3,Pt,carrot,naive,English
3,Pt,lettuce,naive,English
1,Pt,butterfly,naive,English
2,Pt,grape,naive,English
3,Pt,eggplant,naive,English
3,Pt,beetroot,naive,English
2,Pt,gull,naive,English
2,Pt,apricot,naive,English
3,Pt,broccoli,naive,English
2,Pt,strawberry,naive,English
4,Pt,squirrel,naive,English
3,Pt,fox,naive,English
2,Pt,owl,naive,English
6,Pt,moose,naive,English
2,Pt,walnut,naive,English
3,Pt,beaver,naive,English
2,Pt,almond,naive,English
1,Pt,ant,naive,English
3,Pt,snake,naive,English
1,Pt,paprika,naive,English
5,Pt,goat,naive,English
2,Pt,hedgehog,naive,English
5,Pt,tortoise,naive,English
5,Pt,monkey,naive,English
1,Pt,peanut,naive,English
1,Pt,blackberry,naive,English
3,Pt,melon,naive,English
3,Pt,stork,naive,English
4,Pt,eagle,naive,English
5,Pt,vulture,naive,English
2,Pt,orange,naive,English
4,Pt,sheep,naive,English
1,Pt,clove,naive,English
2,Pt,cherry,naive,English
5,Pt,horse,naive,English
3,Pt,apple,naive,English
1,Pt,mustard,naive,English
3,Pt,bat,naive,English
2,Pt,olive,naive,English
3,Pt,bunny,naive,English
3,Pt,leek,naive,English
2,Pt,pear,naive,English
5,Pt,pig,naive,English
4,Pt,avocado,naive,English
2,Pt,spider,naive,English
2,Pt,pineapple,naive,English
2,Pt,tomato,naive,English
3,AL,goose,naive,English
3,AL,magpie,naive,English
2,AL,lemon,naive,English
4,AL,snake,naive,English
1,AL,olive,naive,English
4,AL,tortoise,naive,English
